Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Yellow,13-20,13,1,14,SCY1 like pseudokinase 2,protein-coding,Animal
Green,13-20,16,1,12,GAR1 ribonucleoprotein,protein-coding,Animal
Red,21-28,27,1,13,"SPT16 homolog, facilitates chromatin remodeling subunit",protein-coding,Animal
Red,05-Dec,5,0,16,taxilin alpha,protein-coding,Animal
Yellow,13-20,19,1,3,deltex E3 ubiquitin ligase 4,protein-coding,Animal
Yellow,21-28,27,1,2,interferon-induced protein with tetratricopeptide repeats 5-like,protein-coding,Animal
Green,21-28,26,1,19,glutamate ionotropic receptor kainate type subunit 2,protein-coding,Animal
Yellow,21-28,22,0,4,2-iminobutanoate/2-iminopropanoate deaminase,protein-coding,Animal
Yellow,13-20,16,1,15,P2Y receptor family member 8,protein-coding,Animal
Red,21-28,21,1,X1,adrenoceptor alpha 1B,protein-coding,Animal
Yellow,21-28,22,0,X1,cereblon,protein-coding,Animal
Yellow,21-28,27,1,2,acyl-CoA dehydrogenase family member 10,protein-coding,Animal
Red,21-28,23,0,2,ubiquitin specific peptidase 7,protein-coding,Animal
Green,05-Dec,10,0,3,paired box 6,protein-coding,Animal
Yellow,21-28,21,1,2,peptidylprolyl isomerase like 4,protein-coding,Animal
Red,13-20,18,1,4,zona pellucida binding protein,protein-coding,Animal
Yellow,21-28,22,1,4,kynurenine aminotransferase 3,protein-coding,Animal
Yellow,05-Dec,10,1,5,tetraspanin 3,protein-coding,Animal
Yellow,21-28,26,1,7,tripartite motif containing 33,protein-coding,Animal
Yellow,21-28,26,1,12,VPS37A subunit of ESCRT-I,protein-coding,Animal
Red,13-20,16,0,5,"beta-1,3-galactosyltransferase 6",protein-coding,Animal
Yellow,21-28,26,1,5,zinc finger protein 575,protein-coding,Animal
Red,21-28,22,1,1,transforming growth factor beta 3,protein-coding,Animal
Yellow,13-20,19,1,2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",protein-coding,Animal
Red,13-20,14,1,X1,transcriptional adaptor 3,protein-coding,Animal
Red,05-Dec,12,1,7,alpha-aspartyl dipeptidase-like,protein-coding,Animal
Yellow,13-20,18,1,3,tetraspanin 18,protein-coding,Animal
Red,21-28,22,0,8,sodium/potassium transporting ATPase interacting 4,protein-coding,Animal
Yellow,13-20,14,1,1,zinc finger CCCH-type containing 6,protein-coding,Animal
Yellow,13-20,16,1,11,PR/SET domain 10,protein-coding,Animal
Green,05-Dec,6,1,4,GTPase activating protein and VPS9 domains 1,protein-coding,Animal
Yellow,21-28,24,1,1,TNF superfamily member 10,protein-coding,Animal
Yellow,13-20,20,1,X3,lysophosphatidylcholine acyltransferase 1,protein-coding,Animal
Yellow,21-28,26,1,14,nuclear receptor subfamily 1 group H member 4,protein-coding,Animal
Yellow,21-28,27,1,12,retinal pigment epithelium-derived rhodopsin homolog,protein-coding,Animal
Yellow,13-20,13,1,13,chloride voltage-gated channel 1,protein-coding,Animal
Yellow,21-28,24,1,3,leupaxin,protein-coding,Animal
Yellow,21-28,28,1,4,zinc finger ZZ-type containing 3,protein-coding,Animal
Red,13-20,17,1,13,calcium voltage-gated channel auxiliary subunit alpha2delta 1,protein-coding,Animal
Yellow,21-28,24,1,2,interferon-induced protein with tetratricopeptide repeats 5-like,protein-coding,Animal
Red,21-28,21,1,1,vesicle-associated membrane protein 2,protein-coding,Animal
Red,13-20,13,0,X2,"L-threonine 3-dehydrogenase, mitochondrial",protein-coding,Animal
Red,13-20,20,1,X1,BARX homeobox 1,protein-coding,Animal
Green,21-28,27,1,2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,protein-coding,Animal
Red,13-20,17,0,3,"RNA-binding motif, single-stranded-interacting protein 2-like",pseudo,Animal
Yellow,21-28,28,1,4,leucine rich repeat containing 8 VRAC subunit B,protein-coding,Animal
Red,21-28,27,0,8,solute carrier organic anion transporter family member 4A1,protein-coding,Animal
Red,13-20,19,1,15,vomeronasal 1 receptor ornAnaV1R-ps3194 pseudogene,pseudo,Animal
Red,13-20,20,1,2,"short chain dehydrogenase/reductase family 42E, member 2",protein-coding,Animal
Green,21-28,26,1,21,BAI1 associated protein 3,protein-coding,Animal
Green,21-28,23,1,X5,gamma-aminobutyric acid type B receptor subunit 1,protein-coding,Animal
Yellow,13-20,15,1,1,uncharacterized LOC100074874,ncRNA,Animal
Yellow,05-Dec,5,1,4,attractin,protein-coding,Animal
Yellow,21-28,23,1,1,tubulin tyrosine ligase like 5,protein-coding,Animal
Red,21-28,24,0,X1,SET domain containing 5,protein-coding,Animal
Yellow,05-Dec,12,1,X1,family with sequence similarity 107 member A,protein-coding,Animal
Yellow,05-Dec,12,0,3,tumor protein p53 inducible protein 11,protein-coding,Animal
Yellow,13-20,16,0,2,triadin,protein-coding,Animal
Yellow,13-20,18,1,4,diphthamide biosynthesis 5,protein-coding,Animal
Yellow,21-28,26,1,17,dehydrogenase/reductase 13,protein-coding,Animal
Red,13-20,16,1,4,protein phosphatase 6 catalytic subunit,protein-coding,Animal
Red,21-28,22,1,14,growth arrest specific 2 like 3,protein-coding,Animal
Red,21-28,22,1,12,"leucine rich repeat, Ig-like and transmembrane domains 3",protein-coding,Animal
Red,21-28,28,1,13,hepatocyte growth factor,protein-coding,Animal
Green,13-20,18,1,10,progestin and adipoQ receptor family member 3,protein-coding,Animal
Yellow,21-28,27,1,2,trace amine associated receptor 1,protein-coding,Animal
Red,21-28,23,1,X5,endoplasmic reticulum metallopeptidase 1,protein-coding,Animal
Red,21-28,26,1,1,5'-3' exoribonuclease 2,protein-coding,Animal
Yellow,21-28,26,1,1,solute carrier family 17 member 5,protein-coding,Animal
Yellow,13-20,16,1,10,G-protein coupled receptor 183,protein-coding,Animal
Green,05-Dec,8,1,2,aldehyde dehydrogenase 2 family member,protein-coding,Animal
Yellow,13-20,18,0,4,torsin family 1 member A,protein-coding,Animal
Yellow,21-28,22,1,4,BarH like homeobox 2,protein-coding,Animal
Yellow,05-Dec,11,1,7,DNA cross-link repair 1B,protein-coding,Animal
Yellow,05-Dec,7,1,7,protein kinase C and casein kinase substrate in neurons 1,protein-coding,Animal
Red,21-28,27,1,21,coiled-coil domain containing 74B,protein-coding,Animal
Red,13-20,14,1,3,"renalase, FAD dependent amine oxidase",protein-coding,Animal
Red,13-20,20,0,1,ergosterol biosynthesis 28 homolog,protein-coding,Animal
Yellow,13-20,13,0,17,neurofibromin 1,protein-coding,Animal
Red,21-28,28,1,X1,kelch domain containing 8B,protein-coding,Animal
Yellow,05-Dec,10,0,X1,ribosomal protein L36,protein-coding,Animal
Red,13-20,13,1,13,G protein-coupled receptor 158,protein-coding,Animal
Yellow,13-20,19,0,3,carbohydrate sulfotransferase 1,protein-coding,Animal
Yellow,21-28,25,1,8,ADP ribosylation factor GTPase activating protein 1,protein-coding,Animal
Yellow,13-20,15,1,1,FMR1 autosomal homolog 1,protein-coding,Animal
Yellow,05-Dec,8,1,4,golgin A1,protein-coding,Animal
Green,21-28,23,1,X3,formin homology 2 domain containing 3,protein-coding,Animal
Red,21-28,23,1,13,caspase 2,protein-coding,Animal
Red,21-28,21,1,16,transmembrane protein 39B,protein-coding,Animal
Red,13-20,18,1,11,"cytochrome b-c1 complex subunit Rieske, mitochondrial",protein-coding,Animal
Red,13-20,16,1,2,pantetheinase,protein-coding,Animal
Yellow,13-20,17,1,5,zinc finger AN1-type containing 6,protein-coding,Animal
Yellow,21-28,25,1,4,2-iminobutanoate/2-iminopropanoate deaminase-like,protein-coding,Animal
Red,05-Dec,7,1,X1,interleukin 12B,protein-coding,Animal
Red,21-28,26,1,1,NK2 homeobox 2,protein-coding,Animal
Green,21-28,23,1,X2,RAD54 like 2,protein-coding,Animal
Yellow,21-28,27,1,2,endoplasmic reticulum protein 29,protein-coding,Animal
Yellow,21-28,25,1,4,mediator complex subunit 27,protein-coding,Animal
Red,21-28,23,1,4,selenoprotein F,protein-coding,Animal
Yellow,21-28,22,1,4,acyl-CoA dehydrogenase medium chain,protein-coding,Animal
Green,05-Dec,8,1,7,adaptor related protein complex 4 subunit beta 1,protein-coding,Animal
Red,13-20,16,1,21,tuftelin interacting protein 11,protein-coding,Animal
Red,21-28,27,1,3,ANTXR like,protein-coding,Animal
Yellow,21-28,25,1,5,solute carrier family 24 member 1,protein-coding,Animal
Yellow,21-28,27,1,2,"inositol 1,4,5-triphosphate receptor associated 2",protein-coding,Animal
Yellow,13-20,19,1,3,insulin degrading enzyme,protein-coding,Animal
Red,13-20,18,1,1,FLVCR heme transporter 2,protein-coding,Animal
Yellow,21-28,27,1,2,diablo IAP-binding mitochondrial protein,protein-coding,Animal
Green,13-20,17,1,21,T-box transcription factor T,protein-coding,Animal
Green,13-20,16,1,X1,phospholipid phosphatase related 3,protein-coding,Animal
Yellow,13-20,19,1,2,olfactomedin 4,protein-coding,Animal
Yellow,21-28,24,1,X5,N-acetylneuraminate synthase,protein-coding,Animal
Yellow,21-28,25,1,8,DEP domain containing MTOR interacting protein,protein-coding,Animal
Green,13-20,17,1,1,DnaJ heat shock protein family (Hsp40) member C19,protein-coding,Animal
Red,13-20,14,0,11,amyloid beta precursor like protein 2,protein-coding,Animal
Red,05-Dec,10,0,4,receptor interacting serine/threonine kinase 2,protein-coding,Animal
Red,21-28,26,1,1,epithelial cell transforming 2,protein-coding,Animal
Red,05-Dec,9,0,14,anoctamin 4,protein-coding,Animal
Yellow,05-Dec,9,1,12,epidermal growth factor,protein-coding,Animal
Red,21-28,27,1,16,"KH RNA binding domain containing, signal transduction associated 1",protein-coding,Animal
Yellow,21-28,27,1,8,nuclear receptor coactivator 3,protein-coding,Animal
Yellow,21-28,26,1,4,DNA replication and sister chromatid cohesion 1,protein-coding,Animal
Red,21-28,21,1,4,ATPase H+ transporting V1 subunit C1,protein-coding,Animal
Yellow,21-28,24,1,X1,ubiquitin like domain containing CTD phosphatase 1,protein-coding,Animal
Yellow,13-20,14,1,X1,RHO family interacting cell polarization regulator 1,protein-coding,Animal
Green,21-28,26,1,X5,DMRT like family A1,protein-coding,Animal
Yellow,13-20,14,1,1,potassium voltage-gated channel modifier subfamily S member 3,protein-coding,Animal
Green,13-20,14,1,12,chloride voltage-gated channel 3,protein-coding,Animal
Red,21-28,22,1,2,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",protein-coding,Animal
Red,13-20,14,1,3,ubiquitin associated protein 2,protein-coding,Animal
Red,05-Dec,5,0,4,"zinc finger protein, FOG family member 2",protein-coding,Animal
Red,13-20,20,1,4,heparan sulfate 2-O-sulfotransferase 1,protein-coding,Animal
Yellow,13-20,16,1,7,protein tyrosine phosphatase non-receptor type 22,protein-coding,Animal
Red,13-20,15,1,X1,CKLF like MARVEL transmembrane domain containing 3,protein-coding,Animal
Green,21-28,28,1,4,zinc finger DHHC-type palmitoyltransferase 12,protein-coding,Animal
Yellow,21-28,23,1,16,F-box protein 40,protein-coding,Animal
Yellow,13-20,15,1,21,transglutaminase 2,protein-coding,Animal
Yellow,21-28,23,0,Un,vomeronasal 1 receptor ornAnaV1R3147,protein-coding,Animal
Yellow,21-28,26,1,2,putative olfactory receptor 52P1,protein-coding,Animal
Yellow,05-Dec,5,1,1,pleckstrin homology domain containing B2,protein-coding,Animal
Yellow,21-28,23,1,4,major facilitator superfamily domain containing 10,protein-coding,Animal
Yellow,13-20,17,1,X1,"RAB43, member RAS oncogene family",protein-coding,Animal
Red,21-28,27,0,5,cyclin dependent kinase 7,protein-coding,Animal
Red,21-28,26,1,2,VPS33A core subunit of CORVET and HOPS complexes,protein-coding,Animal
Green,21-28,26,1,4,fucose-1-phosphate guanylyltransferase,protein-coding,Animal
Red,05-Dec,11,1,X1,"lon peptidase 1, mitochondrial",protein-coding,Animal
Red,13-20,16,1,13,myosin IIIA,protein-coding,Animal
Red,21-28,23,1,X5,potassium calcium-activated channel subfamily N member 2,protein-coding,Animal
Yellow,13-20,15,1,8,collagen type XX alpha 1 chain,protein-coding,Animal
Yellow,05-Dec,12,1,13,rap1 GTPase-activating protein 1-like,protein-coding,Animal
Yellow,13-20,18,1,4,mitoguardin 1,protein-coding,Animal
Yellow,21-28,24,1,19,activating signal cointegrator 1 complex subunit 3,protein-coding,Animal
Red,13-20,17,1,X5,heterogeneous nuclear ribonucleoprotein K,protein-coding,Animal
Yellow,21-28,25,0,X5,leucine rich adaptor protein 1 like,protein-coding,Animal
Yellow,21-28,27,1,10,transmembrane 9 superfamily member 2,protein-coding,Animal
Green,21-28,24,1,12,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3",protein-coding,Animal
Green,05-Dec,6,1,2,TRAF-type zinc finger domain containing 1,protein-coding,Animal
Yellow,21-28,22,1,2,calcium regulated heat stable protein 1,protein-coding,Animal
Yellow,21-28,23,1,3,voltage dependent anion channel 2,protein-coding,Animal
Yellow,21-28,23,0,4,von Willebrand factor C domain containing 2,protein-coding,Animal
Yellow,13-20,14,1,7,round spermatid basic protein 1,protein-coding,Animal
Green,13-20,16,1,4,protein kinase N3,protein-coding,Animal
Yellow,21-28,27,1,5,integrator complex subunit 14,protein-coding,Animal
Red,21-28,25,1,X5,vomeronasal 1 receptor ornAnaV1R-ps3737 pseudogene,pseudo,Animal
Red,21-28,26,0,1,pleckstrin homology and RhoGEF domain containing G3,protein-coding,Animal
Yellow,21-28,21,1,1,"Fos proto-oncogene, AP-1 transcription factor subunit",protein-coding,Animal
Yellow,13-20,19,1,2,CAP-Gly domain containing linker protein 1,protein-coding,Animal
Yellow,21-28,27,1,8,cholinergic receptor nicotinic alpha 4 subunit,protein-coding,Animal
Yellow,13-20,15,1,11,ST14 transmembrane serine protease matriptase,protein-coding,Animal
Yellow,21-28,25,1,3,APOBEC1 complementation factor,protein-coding,Animal
Yellow,13-20,13,1,14,solute carrier family 5 member 8,protein-coding,Animal
Yellow,13-20,16,1,3,transmembrane protein 273,protein-coding,Animal
Red,21-28,28,1,8,extracellular sulfatase Sulf-2,protein-coding,Animal
Green,21-28,25,0,2,ribosomal protein S12,protein-coding,Animal
Yellow,13-20,18,1,X2,protocadherin beta-14-like,protein-coding,Animal
Red,21-28,26,1,11,fucose kinase,protein-coding,Animal
Yellow,21-28,25,1,17,cytochrome c oxidase assembly factor 7,protein-coding,Animal
Yellow,05-Dec,9,1,5,lysyl oxidase like 1,protein-coding,Animal
Yellow,13-20,13,1,15,glycerol kinase,protein-coding,Animal
Red,21-28,21,1,X1,1-acylglycerol-3-phosphate O-acyltransferase 5,protein-coding,Animal
Yellow,13-20,17,1,X5,nuclear factor I B,protein-coding,Animal
Yellow,13-20,20,1,X2,vesicle amine transport 1 like,protein-coding,Animal
Green,21-28,24,0,12,methylsterol monooxygenase 1,protein-coding,Animal
Yellow,05-Dec,6,1,2,heparan sulfate-glucosamine 3-sulfotransferase 4,protein-coding,Animal
Yellow,21-28,27,1,2,phosphomannomutase 2,protein-coding,Animal
Yellow,13-20,18,0,2,RNA polymerase II associated protein 3,protein-coding,Animal
Yellow,21-28,23,0,3,ubiquitin conjugating enzyme E2 R2,protein-coding,Animal
Yellow,13-20,16,1,3,lysine acetyltransferase 6B,protein-coding,Animal
Green,21-28,28,1,4,Rap guanine nucleotide exchange factor 1,protein-coding,Animal
Yellow,21-28,22,1,5,Rho related BTB domain containing 2,protein-coding,Animal
Yellow,21-28,21,1,7,putative homeodomain transcription factor 1,protein-coding,Animal
Yellow,21-28,28,1,Un,MOB kinase activator 3A,protein-coding,Animal
Yellow,21-28,27,1,3,olfactory receptor 5B21-like,pseudo,Animal
Green,13-20,16,1,11,alanyl-tRNA editing protein Aarsd1,protein-coding,Animal
Yellow,21-28,21,1,4,adducin 1,protein-coding,Animal
Yellow,13-20,14,0,X1,laminin subunit beta 2,protein-coding,Animal
Red,05-Dec,7,0,3,3-oxoacid CoA-transferase 1,protein-coding,Animal
Red,13-20,16,1,8,potassium voltage-gated channel subfamily Q member 2,protein-coding,Animal
Red,21-28,26,1,1,signal sequence receptor subunit 3,protein-coding,Animal
Yellow,21-28,21,1,3,putative neutral ceramidase C,protein-coding,Animal
Yellow,21-28,22,1,14,sodium-coupled monocarboxylate transporter 1,protein-coding,Animal
Red,21-28,27,1,12,glutamyl aminopeptidase,protein-coding,Animal
Red,21-28,28,1,13,glutathione S-transferase kappa 1,protein-coding,Animal
Red,13-20,13,0,4,far upstream element binding protein 1,protein-coding,Animal
Yellow,13-20,18,1,8,5-azacytidine induced 2,protein-coding,Animal
Yellow,13-20,15,1,11,component of oligomeric golgi complex 4,protein-coding,Animal
Yellow,21-28,23,1,2,UDP-glucuronate decarboxylase 1,protein-coding,Animal
Yellow,13-20,17,1,15,dehydrogenase/reductase X-linked,protein-coding,Animal
Yellow,13-20,17,1,X1,phosphodiesterase 6A,protein-coding,Animal
Yellow,13-20,16,0,X1,ring finger protein 145,protein-coding,Animal
Red,05-Dec,8,1,X5,zinc finger DHHC-type palmitoyltransferase 21,protein-coding,Animal
Yellow,05-Dec,10,1,1,mitochondrial tRNA translation optimization 1,protein-coding,Animal
Red,13-20,17,1,12,neuropeptide Y receptor Y1,protein-coding,Animal
Yellow,21-28,21,1,2,HECT domain E3 ubiquitin protein ligase 4,protein-coding,Animal
Yellow,21-28,21,1,2,transmembrane protein 186,protein-coding,Animal
Yellow,05-Dec,10,1,3,cyclin D1,protein-coding,Animal
Yellow,21-28,23,1,2,SAM and SH3 domain containing 1,protein-coding,Animal
Yellow,21-28,27,1,3,adaptor related protein complex 3 subunit mu 1,protein-coding,Animal
Yellow,21-28,26,1,4,LIM domain only 4,protein-coding,Animal
Yellow,21-28,27,1,7,"membrane associated guanylate kinase, WW and PDZ domain containing 3",protein-coding,Animal
Red,13-20,19,1,13,bromo adjacent homology domain containing 1,protein-coding,Animal
Red,13-20,15,1,X5,"abhydrolase domain containing 16A, phospholipase",protein-coding,Animal
Red,21-28,26,1,16,G protein-coupled receptor 26,protein-coding,Animal
Yellow,13-20,19,1,Un,olfactory receptor 2V2-like,protein-coding,Animal
Red,05-Dec,5,0,3,membrane associated ring-CH-type finger 5,protein-coding,Animal
Red,21-28,22,1,3,lipase family member M,protein-coding,Animal
Red,13-20,17,1,1,transmembrane p24 trafficking protein 10,protein-coding,Animal
Red,05-Dec,5,1,2,zinc finger CCHC-type containing 8,protein-coding,Animal
Red,21-28,27,1,13,glutamate decarboxylase 2,protein-coding,Animal
Yellow,05-Dec,6,1,3,CD82 molecule,protein-coding,Animal
Yellow,21-28,28,1,1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1,protein-coding,Animal
Green,21-28,24,1,11,NEDD4 binding protein 1,protein-coding,Animal
Yellow,21-28,22,1,4,matrix metallopeptidase 16,protein-coding,Animal
Yellow,13-20,14,1,14,UTP20 small subunit processome component,protein-coding,Animal
Yellow,13-20,17,1,13,taste receptor type 2 member 39-like,protein-coding,Animal
Green,13-20,18,0,1,"adiponectin, C1Q and collagen domain containing",protein-coding,Animal
Yellow,13-20,13,1,4,DnaJ heat shock protein family (Hsp40) member B4,protein-coding,Animal
Yellow,13-20,15,1,8,RNA binding motif single stranded interacting protein 3,protein-coding,Animal
Red,21-28,24,1,19,melanin concentrating hormone receptor 2,protein-coding,Animal
Green,21-28,26,1,3,BMS1 ribosome biogenesis factor,protein-coding,Animal
Yellow,21-28,25,1,X1,F-box protein 38,protein-coding,Animal
Yellow,21-28,24,1,X5,lamin B1,protein-coding,Animal
Green,21-28,23,1,12,"tryptophan 2,3-dioxygenase",protein-coding,Animal
Red,21-28,21,1,3,LTO1 maturation factor of ABCE1,protein-coding,Animal
Yellow,21-28,26,0,3,nucleolar protein 6,protein-coding,Animal
Red,13-20,17,1,7,leucine rich repeats and immunoglobulin like domains 2,protein-coding,Animal
Yellow,13-20,19,0,11,serine/arginine repetitive matrix 2,protein-coding,Animal
Green,21-28,28,1,3,ankyrin repeat domain 22,protein-coding,Animal
Green,21-28,26,1,14,synaptotagmin 1,protein-coding,Animal
